id,name,artists,album,year,popularity,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_m,file name
4fN44oV5yhUEt6NDSDCLBS,Date With The Rain,Eddie Kendricks,People... Hold On,1972,40,0.619,0.723,9,0.128,0.353,0.0,0.122,0.563,123.132,2.6818,Date With The Rain Eddie Kendricks
5F187Is00MF7PGwgeCbS8c,Too Late,Tourist,U,2016,24,0.63,0.772,0,0.058,0.0877,0.515,0.073,0.674,144.004,4.4586,Too Late Tourist
7qCZgvV98j6RjUULW1s1it,Inside Out,Spoon,They Want My Soul,2014,59,0.621,0.62,0,0.0293,0.459,0.162,0.0771,0.515,176.016,5.0327,Inside Out Spoon
628IE8t7V5mx7Rg6tUeM4m,Senorita,Actress,Splazsh,2010,19,0.888,0.853,5,0.252,0.468,0.749,0.214,0.772,126.054,2.1718,Seniorita Actress
7B7TnSD7bmjiqw6CvBzCCp,Worst Behavior,Xenia Rubinos,Una Rosa,2021,8,0.609,0.728,6,0.038,0.0467,2.2e-06,0.277,0.229,114.935,3.2077,Worst Behavior Xenia Rubinos
21E8pXaVU2msph8lP68tO9,Hielo Seco,Adrian Quesada,Boleros Psicodélicos,2022,30,0.845,0.452,11,0.0334,0.697,0.0295,0.0695,0.779,100.018,2.8658,"Hielo Seco Adrian Quesada, Mar Ribot, Money Mark"
43GxjTyWkpyZFGfh6d1MPj,Bloom - Jamie xx Rework Part 3,Radiohead,TKOL RMX 8,2011,31,0.616,0.779,9,0.0533,0.0219,0.69,0.312,0.189,126.676,7.7996,Bloom (Jamie xx Rework) Radiohead
521n5wagIZ1522mA2ynHDL,Tate (how i feel),Fred again..,Actual Life 2 (February 2 - October 15 2021),2021,64,0.781,0.765,0,0.221,0.163,0.00112,0.903,0.64,125.197,3.7042,Tate (how i feel) Fred again..
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Flo Rida,Mail on Sunday,2008,84,0.918,0.609,10,0.0791,0.0928,0.0,0.139,0.304,128.008,3.8567,Low (feat. T-Pain) Flo Rida
3QjXW080AfAEA5p4C2Wtfa,La cumbia me está llamando [Feat. La Perla] - Kaidi Tatham Remix,Nubya Garcia,SOURCE ⧺ WE MOVE,2021,33,0.74,0.877,10,0.0595,0.249,0.831,0.145,0.431,108.018,5.1169,"La Cumbia me está llamando Kaidi Tatham Remix Nubya Garcia, La Perla, Kaida Tatham"
3Jl1wfkdpzqlX9HdIgrOSM,White Picket Fence,Koreless,Agor,2021,31,0.548,0.466,5,0.0344,0.489,0.0403,0.0844,0.0389,116.957,2.9733,White Picket Fence Koreless
15IgHEkeO9gSqrKilaEh8b,Cross You Out (feat. Sky Ferreira),Charli XCX,Charli,2019,47,0.604,0.492,4,0.0288,0.00749,0.0,0.11,0.385,121.125,3.4731,"Cross You Out Charli XCX, Sky Ferreira"
2c3KCGq6UojB2c8UAFrRON,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],2022,66,0.716,0.897,4,0.0629,0.012,0.262,0.325,0.358,127.03,4.569,"New Gold - Dom Dolla Remix Gorillaz, Tame Impala"
0sUptlotT5qRIdsZALlPmK,Sleepwalking,Tourist,Wash,2017,36,0.556,0.897,10,0.0361,0.636,0.875,0.102,0.277,106.817,4.585,"Sleepwalking Tourist, Swim Mountain, Esther Joy"
42xJlLwEFNiiNtnLhfBKfg,So Ubuji,Makaya McCraven,In These Times,2022,30,0.733,0.704,5,0.0378,0.843,0.815,0.256,0.789,93.015,3.0232,So Ubuji Makaya McCraven
60APt5N2NRaKWf5xzJdzyC,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",Calvin Harris,Funk Wav Bounces Vol.1,2017,57,0.784,0.728,0,0.0539,0.34,0.0,0.222,0.713,110.165,3.8193,"Heatstroke (feat Young Thug) Calvin Harris, Young Thug"
1GeNui6m825V8jP4uKiIaH,Bad Bad Bad (feat. Lil Baby),Young Thug,So Much Fun,2019,70,0.974,0.596,6,0.184,0.0976,0.0,0.151,0.892,111.959,2.484,"Bad Bad Baad Young Thug, Lil Baby"
3bCVvSFh0dZJSgQZHen92G,Bells_5,Mount Kimbie,"DJ Koze Presents Pampa, Vol. 1",2016,17,0.523,0.836,11,0.0479,0.0205,0.807,0.11,0.101,119.982,4.4273,Bells_5 Mount Kimbie
2d9KBVxb6bUfVCjjv1JAVe,The Big Ship - 2004 Digital Remaster,Brian Eno,Another Green World,1975,51,0.377,0.261,0,0.0411,0.132,0.875,0.116,0.0457,117.994,3.0322,The Big Ship - 2004 Digital Remaster Brian Eno
1mnqraQ8oV8MX92rdOFLWW,1 Thing,Amerie,Touch,2005,69,0.612,0.961,10,0.333,0.107,4.17e-05,0.0413,0.867,129.873,3.9793,1 Thing Amerie
48MEgryHl7JrjZC4ZOQmui,Lion - Jamie XX Remix,Four Tet,Pink Remixes,2012,33,0.802,0.497,10,0.0647,0.125,0.847,0.348,0.07,120.019,7.1417,"Lion Jamie XX Remix Four Tet, Jamie xx"
2Ede3F4IK319I9ZDpXmv8K,Do It Any Way You Wanna,People's Choice,Boogie Down U.S.A.,1975,47,0.78,0.542,0,0.0464,0.0107,0.306,0.0869,0.808,111.271,3.3049,Do It Any Way You Wanna People's Choice
1h2xVEoJORqrg71HocgqXd,Superstition - Single Version,Stevie Wonder,The Definitive Collection,2002,79,0.633,0.634,8,0.0725,0.038,0.0064,0.0385,0.872,100.499,4.0915,Superstition Stevie Wonder
2aJDlirz6v2a4HREki98cP,Glue,Bicep,Bicep,2017,76,0.853,0.798,4,0.068,0.0158,0.948,0.0967,0.42,129.983,4.4858,Glue Bicep
24zP04M3TeTDchEsrK7F26,Something Good Can Work - Rac Remix,Two Door Cinema Club,"Arsenio Manila, Vol. I",2012,35,0.517,0.879,9,0.0396,0.205,0.00188,0.113,0.419,119.709,3.4644,Something Good Can Happen - RAC Remix Two Door Cinema Club
3CMHACJ1rZtTyPnFgXOx8U,Sweet & Sour,Elli Ingram,Love You Really,2017,36,0.637,0.599,7,0.199,0.205,1e-06,0.12,0.556,95.845,3.4009,Sweet & Sour Elli Ingram
0PJIbOdMs3bd5AT8liULMQ,oui,Jeremih,Late Nights: The Album,2015,78,0.418,0.724,5,0.0964,0.213,0.0,0.112,0.604,78.521,3.972,oui Jeremih
5Sqcm0TFvJd0SDDgrWgFSa,Blessed,Becca Hatch,Blessed,2022,43,0.811,0.558,6,0.0552,0.214,0.000992,0.106,0.852,125.975,2.7143,"Blessed Becca Hatch, Tentendo"
30fQvBnDR8jLdN0SFcsFos,The Start of Something,Voxtrot,Early Music,2022,54,0.659,0.696,8,0.0289,0.247,7.83e-06,0.105,0.715,107.085,4.5347,The Start of Something Voxtrot
1ZqeykOaDmjkldzs7XGR4b,Where Angels Fear To Tread,Disclosure,Moonlight,2018,57,0.679,0.735,2,0.136,0.23,0.602,0.148,0.603,107.998,3.7651,Where Angels Fear to Tread Disclosure
0K1KOCeJBj3lpDYxEX9qP2,Sleeping With A Friend,Neon Trees,Pop Psychology,2014,56,0.582,0.882,2,0.0355,0.00189,1.03e-05,0.32,0.507,107.034,3.814,Sleeping With A Friend Neon Trees
5XJbxQd5go9wRFpYq4fChY,Ultra Truth,Daniel Avery,Ultra Truth,2022,26,0.605,0.766,1,0.0368,0.019,0.949,0.073,0.322,109.995,5.2864,Ultra Truth Daniel Avery
7vm3Z78elWY11Xl6MNuXng,Be Fine,Madeon,Good Faith,2019,46,0.543,0.841,8,0.0473,0.00503,0.00495,0.292,0.48,94.085,3.612,Be Fine Madeon
5t9KYe0Fhd5cW6UYT4qP8f,Good Vibrations - Remastered 2001,The Beach Boys,Smiley Smile (Remastered),1967,74,0.396,0.473,10,0.0345,0.326,0.000124,0.109,0.385,133.449,3.6504,Good Vibrations* The Beach Boys
5XR4V6uo2NCLkke1DyOcPY,Quits,Flume,Quits,2019,47,0.733,0.787,2,0.32,0.229,0.0,0.169,0.514,73.463,2.5339,"Quits - Flume, Reo Cragun"
6JWlrfakloDWcNG1hfy1Ob,Such a Bad Way,Against All Logic,2012 - 2017,2018,35,0.673,0.836,5,0.0323,0.000462,0.853,0.0693,0.498,110.979,4.8843,Such a Bad Way Against All Logic
5noQJkpVfHt2D4df2GXieV,The Reeling,Passion Pit,Manners,2009,51,0.597,0.777,8,0.0668,0.000356,0.00113,0.169,0.776,111.999,4.7984,The Reeling Passion Pit
0PGVmGVnLNF58JFieI3p14,Nana,Acid Pauli,"DJ Koze Presents Pampa, Vol. 1",2016,42,0.796,0.572,2,0.0614,0.216,0.91,0.0782,0.671,124.003,9.368,Nana Acid Pauli
55CHeLEfn5iJ0IIkgaa4si,Savage,Megan Thee Stallion,Suga,2020,70,0.843,0.741,11,0.334,0.0252,0.0,0.096,0.68,168.983,2.5916,Savage Megan Thee Stallion
0BgHjpdfyL8tV6ajXFiT4b,Sourcer,Demdike Stare,Wonderland,2016,12,0.466,0.657,1,0.271,0.000689,0.479,0.098,0.381,77.156,5.4813,Sourcer Demdike Stare
37d41NjlekhMbTN0L2mWGI,Snowshoe,DNTEL,"DJ Koze Presents Pampa, Vol. 1",2016,9,0.376,0.289,2,0.032,0.671,0.666,0.0972,0.15,124.223,3.6527,Snowshoe Dntel
1kgd7UZ66qP1i18SNubchS,In the Dust of This Planet,Axel Boman,"DJ Koze Presents Pampa, Vol. 1",2016,23,0.59,0.703,7,0.0374,0.054,0.915,0.108,0.175,117.001,7.9958,In The Dust of This Planet Axel Boman
3OWJfQQGd8YuCRP2K6DkUa,Sueños,Waleed,Sueños,2022,25,0.702,0.62,0,0.057,0.25,0.898,0.111,0.107,139.98,4.9714,Sueños Waleed
6IAgarq2wDeYzpsY2Kx0Hw,Almeda,Solange,When I Get Home,2019,65,0.827,0.553,1,0.032,0.0227,1.52e-05,0.176,0.0631,110.015,3.9353,Almeda Solange
7iFlBjOuNfp8oFozovA777,Show Me,Big Wild,Show Me,2017,54,0.508,0.448,1,0.044,0.417,0.00358,0.114,0.039,100.832,3.7926,"Show Me Big Wild, Hundred Waters"
3583pslXmtbsjkqSTLmkcs,Just Sayin,JayWood,Just Sayin,2022,9,0.663,0.687,8,0.035,0.0565,6.89e-05,0.223,0.683,106.0,4.5531,"Just Sayin JayWood, Ami CHeon"
6xjUqDBKohtu8pNpW3trZH,Mimesis - Rampue Remix,Thomas Scholz,asle ep,2014,32,0.674,0.421,9,0.0442,0.0246,0.825,0.0726,0.156,109.019,7.2059,"Mimesis - Rampue Remix Thomas Scholz, Rampus"
7mimnm2QlSzW3J38FRMETP,Thinking of You - 1995 Remaster,Sister Sledge,We Are Family (1995 Remaster),1979,63,0.661,0.846,5,0.0467,0.129,5.17e-06,0.0355,0.911,101.068,4.4471,Thinking of You - 1995 Remaster Sister Sledge
1cU4jWWFTAiclPWyD3X2KP,Frisco,Little Dragon,Frisco,2022,38,0.781,0.367,1,0.218,0.217,0.00127,0.0559,0.447,117.985,3.7152,Frisco Little Dragon
7oviAIcW50bElbRnHPynvc,Bite,Plastic Picnic,Plastic Picnic,2017,42,0.563,0.73,5,0.0343,2.19e-05,0.329,0.135,0.348,114.963,3.6506,Bite Plastic Picnic
5Fi4nPER6YbntbYDW4P3Pz,I Will Survive,Belters Only,Belters Only,2022,60,0.637,0.917,10,0.146,0.376,0.000106,0.165,0.558,124.03,2.5165,I Will Survive Belters Only
73z0nxgDAKFdbjtOOPzRf8,Hello,Axel Boman,Family Vacation,2013,44,0.755,0.731,2,0.0412,0.00523,0.854,0.216,0.614,118.002,8.6578,Hello Axel Boman
0yM2YvOGR3cBIoWBeFdtmS,Enjoy Your Life,Romy,Enjoy Your Life,2023,58,0.674,0.924,0,0.102,0.0143,6.09e-06,0.216,0.811,123.04,4.0009,Enjoy Your Life Romy
17ApP5WY7cH3G5Jo65q3J2,Weather Master,Mano Le Tough,Holographic Witness,2022,19,0.696,0.595,7,0.0374,0.00016,0.887,0.0912,0.117,111.996,6.8801,Weather Master Mano Le Tough
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),Justin Timberlake,FutureSex/LoveSounds,2006,82,0.967,0.583,7,0.0789,0.0584,0.0,0.0519,0.964,117.0,4.0456,SexyBack (feat. Timbaland) Justin Timberlake
21PaOSZdsh7DToHW6d5B38,Mood,Porches,Pool,2016,45,0.736,0.468,4,0.0294,0.53,0.00184,0.094,0.642,97.484,2.4727,Mood Porches
6Fy5byQMlFYNmwFUcV0Naw,Do It,Good Sad Happy Bad,Shades,2020,29,0.272,0.6,9,0.0343,0.0188,0.914,0.127,0.513,147.109,3.1973,Do It Good Sad Happy Bad
2MRo59IW5O13nu0BIBqhW0,For You,I. JORDAN,For You,2020,23,0.628,0.889,11,0.0604,0.0336,0.464,0.0822,0.886,138.005,5.6315,For You I. JORDAN
3K7sWmplr6sreqM3PhHoMM,Wait 4 U,Machinedrum,A View of U,2020,43,0.619,0.851,1,0.0539,0.00147,0.848,0.0768,0.496,174.019,4.0821,"Wait 4 U Machinedrum, Jesse Boykins III"
3NMFWhIDAdDGX3xmXOxHyo,Feel Good,Polo & Pan,Feel Good,2020,52,0.643,0.748,2,0.0386,0.235,0.191,0.815,0.583,96.004,3.9744,Feel Good Polo & Pan
20dP2DaMHIAmwWAbp7peSr,pick up the phone,Young Thug,Birds In The Trap Sing McKnight,2016,71,0.711,0.739,7,0.129,0.114,0.0,0.226,0.43,136.919,4.2043,"pick up the phone Young Thug, Travis Scott"
7zuSn410s3z8Ki7iuO6ZSO,BACKWARDS,RUNNER BOY,BACKWARDS,2022,49,0.538,0.848,10,0.0329,0.119,0.618,0.174,0.527,85.996,1.7674,"BACKWARDS RUNNER BOY, babebee"
4OZyVAbGOcrv4BYv5xDjet,Here Comes the Night Time,Arcade Fire,Reflektor,2013,44,0.446,0.675,10,0.0464,0.038,0.43,0.372,0.626,95.014,6.5082,Here Comes The Night Time Arcade Fire
7gpXIjXWCJ3IuGCeGvSMxX,Can You Feel the Love (Reprise),Gerald Lee,Late Night Tales: Khruangbin,2020,29,0.44,0.496,4,0.0285,0.192,0.00128,0.16,0.458,135.625,3.1038,Can You Feel the Love Gerald Lee
0r2Bul2NuCViraT2zX1l5j,Get Low,Lil Jon & The East Side Boyz,Kings Of Crunk,2002,78,0.521,0.625,1,0.067,0.0301,0.0,0.121,0.136,101.019,5.5678,Get Low Lil Jon & The East Side Boyz
1h1OwFAkZONaT6anEINevZ,True Love - Remastered 2023,Alan Braxe,The Upper Cuts (2023 Edition),2023,17,0.741,0.608,5,0.0467,0.207,0.549,0.0593,0.126,110.008,2.5404,True Love - Remastered 2023 Alan Braxe
3fTxLcPR2i8b9yIrvNScuC,Affection,yunè pinku,Affection,2022,31,0.761,0.879,11,0.0376,0.0462,0.73,0.117,0.203,123.984,3.6656,Affection yunè pinku
62Ov2zdV4Vb13eARWW89fT,Home To You - Champion Remix,ABISHA,Home To You (Champion Remix),2022,32,0.811,0.653,8,0.0662,0.016,0.000336,0.4,0.546,130.009,3.9532,"Home To You - Champion Remix ABISHA, Champion "
6kBtR5xzx19l9p4LU5InSN,Myself in the Way,Turnover,Myself in the Way,2022,37,0.675,0.611,6,0.0279,0.202,0.000172,0.535,0.911,111.997,4.986,"Myself in the Way Turnover, Brendan Yates"
2ss1yofr3slVR2SfokLaLC,Studie,Teebs,Anicca,2019,40,0.496,0.627,1,0.0572,0.155,0.18,0.196,0.525,182.125,3.6153,"Studie Teebs, Panda Bear"
73FOzppaF9mNLgmT4HSPWB,Dreams (Rework),yunè pinku,Dreams (Rework),2023,47,0.637,0.879,7,0.0389,0.0472,0.251,0.122,0.301,124.015,3.6452,Dreams (Rework) yunè pinku
52a6VcF23v5HB7KfDEmBHq,Carried Away,Passion Pit,Gossamer,2012,58,0.772,0.826,0,0.0344,0.0176,8.56e-06,0.383,0.871,119.995,3.6996,Carried Away Passion Pit
6w3Fy8LzO4cPaZVMbn86bT,BLACK MOON,Minako Yoshida,MONOCHROME,1980,28,0.485,0.895,0,0.0619,0.238,0.288,0.338,0.613,103.114,4.694,BLACK MOON Minako Yoshida
2s1sdSqGcKxpPr5lCl7jAV,Chandelier,Sia,1000 Forms Of Fear (Deluxe Version),2015,73,0.399,0.787,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,3.602,Chandelier Sia
4YrUH3TZazK6DC2w5qXryI,Makeshift Tourniquet,Vegyn,Makeshift Tourniquet,2023,50,0.467,0.581,8,0.0505,0.0137,0.885,0.11,0.139,122.012,5.2973,Makeshift Tourniquet Vegyn
30PCVpTUwLIIduco6aeVcd,Is It Supposed,Hudson Mohawke,Cry Sugar,2022,33,0.625,0.696,4,0.0488,0.212,0.814,0.104,0.496,132.047,6.2344,Is It Supposed Hudson Mohawke
5rmbHWtNA3R5EpuHLWyPe9,HARI KARI,JOYRYDE,HARI KARI,2016,32,0.675,0.945,1,0.361,0.094,0.000191,0.351,0.485,126.033,3.8438,HARI KARI JOYRYDE
3mwvKOyMmG77zZRunnxp9E,Buddy Holly,Weezer,Weezer,1994,77,0.556,0.92,8,0.0367,0.00271,0.00021,0.117,0.771,121.138,2.6538,Buddy Holly Weezer
2r7QWdlq57ZTHDuUUOKcDH,Space Sound To Dance - Millos Kaiser Extended Mix,Fernanda Abreu,Fernanda Abreu - 30 Anos De Baile (Extended Versions),2021,13,0.757,0.643,5,0.0477,0.00443,0.531,0.752,0.601,122.013,6.5902,Space Sound To Dance - Millos Kaiser Extended Mix Fernanda Abreu
4RljGCFSwyxeDvc0kwU0vN,Cenote,Perfume Genius,Ugly Season,2022,22,0.247,0.0296,6,0.0437,0.983,0.938,0.101,0.119,73.428,3.5458,Cenote Perfume Genius
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Outkast,Stankonia,2000,84,0.843,0.806,4,0.269,0.143,0.0,0.0771,0.613,94.948,4.5084,Ms. Jackson* Outkast
60jzFy6Nn4M0iD1d94oteF,Rude Boy,Rihanna,Rated R,2009,81,0.563,0.75,11,0.127,0.113,0.0,0.0788,0.812,173.906,3.7153,Rude Boy Rihanna
3K0SJUQNbOkUprTFcwwAKN,Jungle Boogie,Kool & The Gang,Wild And Peaceful,1973,65,0.808,0.85,5,0.0868,0.115,0.000109,0.316,0.717,106.855,3.1089,Jungle Boogie Kool & The Gang
0a4agFmqHXxcZl1nho1BxM,Heart Of Glass - Special Mix,Blondie,Best Of Blondie,1981,72,0.694,0.577,4,0.0308,0.015,0.00836,0.0853,0.845,114.478,4.5956,Heart of Glass Blondie 
1170VohRSx6GwE6QDCHPPH,Kilby Girl,The Backseat Lovers,When We Were Friends,2019,78,0.329,0.444,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4.7034,Kilby Girl The Backseat Lovers
3HWzoMvoF3TQfYg4UPszDq,Truth Hurts,Lizzo,Cuz I Love You (Super Deluxe),2019,75,0.715,0.624,4,0.114,0.11,0.0,0.123,0.412,158.087,2.8887,Truth Hurts Lizzo
3yydZof4pq6N4zeyTzLwQk,Passion,RAC,BOY,2020,66,0.777,0.721,0,0.071,0.476,0.0512,0.27,0.88,106.956,2.2125,"Passion RAC, Louis the Child"
1kpaYlHQcazd3U3HpY7uhi,Faisal (London Bridge Station),Fred again..,Actual Life 2 Piano EP (February 2 - October 15 2021),2022,53,0.423,0.389,0,0.0424,0.958,0.894,0.156,0.193,184.005,5.15,Faisal (London Bridge Station) Fred again..
4UIVcg8hsML6ZFCW6geRbX,True,Jaimeson,Jaimeson Revisited,2007,37,0.751,0.892,10,0.046,0.000674,0.731,0.0777,0.787,137.859,6.3167,True Jaimeson
4jDmJ51x1o9NZB5Nxxc7gY,Careless Whisper,George Michael,Ladies And Gentlemen... The Best Of George Michael,1998,84,0.574,0.628,2,0.036,0.13,0.0,0.271,0.803,153.119,5.0018,Careless Whisper George Michael
1yUJK3qxPiFiPeAG2gLfuW,Gone,Charli XCX,Charli,2019,53,0.91,0.441,6,0.0693,0.0414,8.8e-06,0.0745,0.66,114.002,4.108,Gone Charli XCX
2caDMtjF01GlxCU7yHUdhu,Spring,Saint Etienne,Foxbase Alpha,1992,46,0.593,0.534,5,0.0405,0.000754,0.00174,0.123,0.507,97.929,3.7322,Spring Saint Etienne
1qsUaeOWdzDTYsHNqQq60U,I Never Dream,Against All Logic,2012 - 2017,2018,38,0.694,0.871,1,0.0478,0.108,0.792,0.0636,0.361,117.984,6.7665,I Never Dream Against All Logic
2cX2coZS1PYBfPs8wgbdWE,More Than A Woman,Bee Gees,How Can You Mend A Broken Heart,2020,73,0.601,0.703,7,0.0379,0.175,8.4e-05,0.571,0.673,106.164,3.2702,More Than a Woman* Bee Gees
3sn7UM54xyAUjfR9rNxZwp,Freedom 2,Kwengface,Freedom 2,2023,60,0.823,0.646,11,0.058,0.0551,0.0,0.172,0.474,140.059,3.4489,Freedom 2 Kwengface
7CBlZqB7b1AcXksVCoiWZX,Apple,KAINA,Apple,2022,20,0.65,0.691,8,0.0402,0.352,0.0535,0.0688,0.444,104.963,3.4078,Apple KAINA
4tYEsMhVwogIKyzKpL9hTE,Cobra Bora,808 State,Ninety,1989,21,0.579,0.943,2,0.0377,0.00118,0.91,0.048,0.622,120.236,6.5978,Cobra Bora 808 State
3KffMs30iYfPNYI8epNj5a,Hannah (the sun),Fred again..,Hannah (the sun),2021,52,0.767,0.878,8,0.0648,0.0249,0.0294,0.147,0.401,125.018,3.2799,Hannah (the sun) Fred again..
1ONDma4NENd2D7ig3HvJ1Z,"No Time (feat. Nia Archives, Beenie Man, Cristale & ShaSimone)",CLIPZ,"No Time (feat. Nia Archives, Beenie Man, Cristale & ShaSimone)",2022,42,0.745,0.928,2,0.248,0.0693,0.0,0.0276,0.776,174.049,2.8109,"No Time CLIPZ, Nia Archives, Beenie Man, Cristale, ShaSimone"
7j59MN6vDM9lrvQ0iGhqaa,Say Can You Hear (Album V),Men I Trust,Oncle Jazz,2019,52,0.663,0.406,9,0.059,0.774,0.789,0.106,0.644,158.009,3.1541,Say Can You Hear (Album V) Men I Trust
0T93QZ9e99gGD5WGIHA3xP,"Kill Bill, Vol. 4",Modeselektor,Hello Mom!,2005,24,0.76,0.775,11,0.0646,0.00406,0.0764,0.342,0.13,129.985,5.2202,"Kill Bill, Vol. 4 Modeselektor"
1XNJbe1AqHoag8OEWFbXAG,Mesmerize,Hey Cowboy!,Mesmerize,2023,37,0.719,0.509,0,0.0268,0.79,0.776,0.121,0.844,113.958,2.8465,Mesmerize Hey Cowboy!
6kAZRPHGQHryRZbs6Zyh6B,North by North,Faded Paper Figures,Dynamo,2008,34,0.7,0.862,8,0.0301,0.116,0.526,0.0976,0.715,97.507,4.5727,North by North Faded Paper Figures
6M3F5AnUheabB0blLtdzrl,Polite Guy,Bodysync,BIG WOOF,2022,21,0.69,0.915,5,0.134,0.196,0.0404,0.114,0.711,108.039,1.9167,Polite Guy Bodysync
33iv3wnGMrrDugd7GBso1z,My Own Worst Enemy,Lit,A Place In The Sun,1999,75,0.494,0.946,4,0.0637,0.00129,0.0,0.398,0.741,103.408,2.8171,My Own Worst Enemy Lit
7tOcPDj3vyopZ404pY6UuP,Shooting Stars,Bag Raiders,Shooting Stars,2009,62,0.664,0.717,11,0.0391,0.0528,0.000348,0.138,0.555,124.989,3.7838,Shooting Stars Bag Raiders
7MtqDhpc0CXLs56LeR4ru3,Next To Me,DJ Sabrina The Teenage DJ,Charming Singles,2020,2,0.528,0.837,2,0.0775,0.00542,2.21e-05,0.0749,0.436,111.165,7.4044,Next to Me DJ Sabrina the Teenage DJ
3HdcqQpq7zb5GbEKBDY34p,Humbug Mountain Song,Fruit Bats,Absolute Loser,2016,64,0.593,0.926,6,0.0319,0.0355,0.0582,0.311,0.945,100.011,3.0725,Humbug Mountain Song Fruit Bats
7EIEHguOlLhbcDH3EKPr2D,When Your Life Feels Like a Loss,De Lux,Generation,2015,26,0.65,0.852,2,0.0337,0.0639,0.00983,0.0743,0.962,108.058,4.0473,When Your Life Feels Like a Loss De Lux
